iteration,config,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,overhead_bytes,overhead_pct,memory_mb
1,no-hkdf,text-small,100,268.875,175.75,0.3546905872268712,0.5426311899893315,16,16.0,0.00022125244140625
2,no-hkdf,text-small,100,200.041,175.916,0.47673942662066776,0.542119145732196,16,16.0,0.00022125244140625
3,no-hkdf,text-small,100,186.541,153.542,0.5112411300498282,0.6211162524952456,16,16.0,0.00022125244140625
4,no-hkdf,text-small,100,221.875,157.333,0.4298250440140845,0.6061502141357821,16,16.0,0.00022125244140625
5,no-hkdf,text-small,100,206.0,173.5,0.4629486972845874,0.5496681938940923,16,16.0,0.00022125244140625
6,no-hkdf,text-small,100,201.583,184.0,0.473092630036387,0.5183012589164402,16,16.0,0.00022125244140625
7,no-hkdf,text-small,100,206.0,175.583,0.4629486972845874,0.5431472958123794,16,16.0,0.00022125244140625
8,no-hkdf,text-small,100,177.542,189.958,0.5371542037412275,0.5020448290707683,16,16.0,0.00022125244140625
9,no-hkdf,text-small,100,199.458,347.792,0.4781328983576743,0.27420823837415753,16,16.0,0.00022125244140625
10,no-hkdf,text-small,100,190.625,173.583,0.5002881659836065,0.5494053659668574,16,16.0,0.00022125244140625
11,no-hkdf,text-small,100,176.5,171.25,0.5403253917315863,0.5568901117700731,16,16.0,0.00022125244140625
12,no-hkdf,text-small,100,147.083,145.625,0.6483919395213926,0.6548836507510729,16,16.0,0.00022125244140625
13,no-hkdf,text-small,100,148.458,144.958,0.6423866119752725,0.6578969883733564,16,16.0,0.00022125244140625
14,no-hkdf,text-small,100,150.583,152.083,0.6333213685517289,0.6270748975271727,16,16.0,0.00022125244140625
15,no-hkdf,text-small,100,134.333,128.333,0.709933014528262,0.7431247741471406,16,16.0,0.00022125244140625
16,no-hkdf,text-small,100,126.25,125.792,0.7553855971534653,0.7581359040370214,16,16.0,0.00022125244140625
17,no-hkdf,text-small,100,66.79100000000001,66.542,1.4278485370877063,1.4331915427944004,16,16.0,0.00022125244140625
18,no-hkdf,text-small,100,135.833,127.66700000000002,0.7020932442088815,0.7470014306016824,16,16.0,0.00022125244140625
19,no-hkdf,text-small,100,127.458,126.792,0.7482263305608514,0.7521565370104186,16,16.0,0.00022125244140625
20,no-hkdf,text-small,100,127.12499999999999,126.08300000000001,0.7501862862586038,0.7563861237488401,16,16.0,0.00022125244140625
21,no-hkdf,text-small,100,126.625,126.08300000000001,0.7531485223346496,0.7563861237488401,16,16.0,0.00022125244140625
22,no-hkdf,text-small,100,127.54199999999999,127.833,0.747733543778716,0.7460313975313495,16,16.0,0.00022125244140625
23,no-hkdf,text-small,100,113.042,110.917,0.8436460044994338,0.8598089710380284,16,16.0,0.00022125244140625
24,no-hkdf,text-small,100,113.0,111.375,0.8439595720409292,0.8562732358305275,16,16.0,0.00022125244140625
25,no-hkdf,text-small,100,114.75,111.25,0.8310887288943355,0.8572353405898877,16,16.0,0.00022125244140625
26,no-hkdf,text-small,100,112.458,111.083,0.8480271002563179,0.8585240913607394,16,16.0,0.00022125244140625
27,no-hkdf,text-small,100,112.041,111.208,0.8511833314645978,0.857559093236323,16,16.0,0.00022125244140625
28,no-hkdf,text-small,100,112.417,117.459,0.8483363872067836,0.8119210247033007,16,16.0,0.00022125244140625
29,no-hkdf,text-small,100,102.959,99.667,0.9262661024351926,0.9568606624120821,16,16.0,0.00022125244140625
30,no-hkdf,text-small,100,100.541,99.708,0.9485427003971016,0.9564672006320957,16,16.0,0.00022125244140625
