iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct,memory_mb
1,AES-GCM-SIV,text_short,100,98.04199999999999,68.0,0.9727201774813345,1.4024622300091911,116,16,16.0,0.00022125244140625
2,AES-GCM-SIV,text_short,100,68.08399999999999,66.708,1.400731914115284,1.4296251070430084,116,16,16.0,0.00022125244140625
3,AES-GCM-SIV,text_short,100,67.58399999999999,66.583,1.4110948100234524,1.432309022432528,116,16,16.0,0.00022125244140625
4,AES-GCM-SIV,text_short,100,66.958,66.209,1.424287338938215,1.4403998193693455,116,16,16.0,0.00022125244140625
5,AES-GCM-SIV,text_short,100,66.708,66.083,1.4296251070430084,1.4431462197634037,116,16,16.0,0.00022125244140625
6,AES-GCM-SIV,text_short,100,67.25,66.834,1.4181030727230484,1.4269298806090462,116,16,16.0,0.00022125244140625
7,AES-GCM-SIV,text_short,100,66.625,65.875,1.4314061034240149,1.447702947106262,116,16,16.0,0.00022125244140625
8,AES-GCM-SIV,text_short,100,66.375,80.084,1.4367974635122411,1.1908425108713976,116,16,16.0,0.00022125244140625
9,AES-GCM-SIV,text_short,100,66.916,66.45800000000001,1.4251812965602397,1.435003034106127,116,16,16.0,0.00022125244140625
10,AES-GCM-SIV,text_short,100,67.208,66.375,1.4189892816424385,1.4367974635122411,116,16,16.0,0.00022125244140625
11,AES-GCM-SIV,text_short,100,66.79199999999999,66.167,1.4278271595494223,1.441314123968519,116,16,16.0,0.00022125244140625
12,AES-GCM-SIV,text_short,100,66.833,66.45800000000001,1.4269512312873132,1.435003034106127,116,16,16.0,0.00022125244140625
13,AES-GCM-SIV,text_short,100,66.5,66.042,1.434096716400376,1.4440421495506648,116,16,16.0,0.00022125244140625
14,AES-GCM-SIV,text_short,100,66.667,66.292,1.4305043220877645,1.4385963863003832,116,16,16.0,0.00022125244140625
15,AES-GCM-SIV,text_short,100,66.625,66.29100000000001,1.4314061034240149,1.438618087532621,116,16,16.0,0.00022125244140625
16,AES-GCM-SIV,text_short,100,66.79199999999999,66.292,1.4278271595494223,1.4385963863003832,116,16,16.0,0.00022125244140625
17,AES-GCM-SIV,text_short,100,66.5,65.875,1.434096716400376,1.447702947106262,116,16,16.0,0.00022125244140625
18,AES-GCM-SIV,text_short,100,66.333,66.416,1.437707199141076,1.435910498082164,116,16,16.0,0.00022125244140625
19,AES-GCM-SIV,text_short,100,66.5,65.75,1.434096716400376,1.4504552340779469,116,16,16.0,0.00022125244140625
20,AES-GCM-SIV,text_short,100,66.75,66.29100000000001,1.4287255676498127,1.438618087532621,116,16,16.0,0.00022125244140625
21,AES-GCM-SIV,text_short,100,66.834,66.375,1.4269298806090462,1.4367974635122411,116,16,16.0,0.00022125244140625
22,AES-GCM-SIV,text_short,100,66.541,65.792,1.4332130812675643,1.449529299012418,116,16,16.0,0.00022125244140625
23,AES-GCM-SIV,text_short,100,66.541,66.0,1.4332130812675643,1.4449610854640151,116,16,16.0,0.00022125244140625
24,AES-GCM-SIV,text_short,100,66.625,66.29100000000001,1.4314061034240149,1.438618087532621,116,16,16.0,0.00022125244140625
25,AES-GCM-SIV,text_short,100,66.5,66.0,1.434096716400376,1.4449610854640151,116,16,16.0,0.00022125244140625
26,AES-GCM-SIV,text_short,100,67.0,66.125,1.4233945020988805,1.4422295900283555,116,16,16.0,0.00022125244140625
27,AES-GCM-SIV,text_short,100,67.0,66.208,1.4233945020988805,1.4404215750456892,116,16,16.0,0.00022125244140625
28,AES-GCM-SIV,text_short,100,66.583,66.292,1.432309022432528,1.4385963863003832,116,16,16.0,0.00022125244140625
29,AES-GCM-SIV,text_short,100,66.45800000000001,66.167,1.435003034106127,1.441314123968519,116,16,16.0,0.00022125244140625
30,AES-GCM-SIV,text_short,100,66.625,65.75,1.4314061034240149,1.4504552340779469,116,16,16.0,0.00022125244140625
1,AES-GCM,text_short,100,50.25,44.5,1.8978593361318408,2.143088351474719,116,16,16.0,0.00022125244140625
2,AES-GCM,text_short,100,44.583000000000006,43.625,2.1390985721154925,2.1860729315902576,116,16,16.0,0.00022125244140625
