iteration,algorithm,data_type,data_size_bytes,enc_time_us,dec_time_us,enc_throughput_mbs,dec_throughput_mbs,ciphertext_size_bytes,overhead_bytes,overhead_pct
1,aes-gcm-siv,text_short,100,89,74,1.0715441757373596,1.2887490762246623,116,16,16.0
2,aes-gcm-siv,text_short,100,72,72,1.324547661675347,1.324547661675347,116,16,16.0
3,aes-gcm-siv,text_short,100,72,72,1.324547661675347,1.324547661675347,116,16,16.0
4,aes-gcm-siv,text_short,100,71,68,1.343203262544014,1.4024622300091911,116,16,16.0
5,aes-gcm-siv,text_short,100,66,66,1.4449610854640151,1.4449610854640151,116,16,16.0
6,aes-gcm-siv,text_short,100,66,66,1.4449610854640151,1.4449610854640151,116,16,16.0
7,aes-gcm-siv,text_short,100,61,59,1.5634005186987705,1.6163971464512712,116,16,16.0
8,aes-gcm-siv,text_short,100,64,76,1.4901161193847656,1.254834626850329,116,16,16.0
9,aes-gcm-siv,text_short,100,72,72,1.324547661675347,1.324547661675347,116,16,16.0
10,aes-gcm-siv,text_short,100,72,72,1.324547661675347,1.324547661675347,116,16,16.0
11,aes-gcm-siv,text_short,100,72,71,1.324547661675347,1.343203262544014,116,16,16.0
12,aes-gcm-siv,text_short,100,71,71,1.343203262544014,1.343203262544014,116,16,16.0
13,aes-gcm-siv,text_short,100,71,72,1.343203262544014,1.324547661675347,116,16,16.0
14,aes-gcm-siv,text_short,100,71,72,1.343203262544014,1.324547661675347,116,16,16.0
15,aes-gcm-siv,text_short,100,69,69,1.3821366904438406,1.3821366904438406,116,16,16.0
16,aes-gcm-siv,text_short,100,69,69,1.3821366904438406,1.3821366904438406,116,16,16.0
17,aes-gcm-siv,text_short,100,69,81,1.3821366904438406,1.1773756992669753,116,16,16.0
18,aes-gcm-siv,text_short,100,71,70,1.343203262544014,1.3623918805803572,116,16,16.0
19,aes-gcm-siv,text_short,100,70,69,1.3623918805803572,1.3821366904438406,116,16,16.0
20,aes-gcm-siv,text_short,100,69,69,1.3821366904438406,1.3821366904438406,116,16,16.0
21,aes-gcm-siv,text_short,100,69,69,1.3821366904438406,1.3821366904438406,116,16,16.0
22,aes-gcm-siv,text_short,100,69,69,1.3821366904438406,1.3821366904438406,116,16,16.0
23,aes-gcm-siv,text_short,100,69,69,1.3821366904438406,1.3821366904438406,116,16,16.0
24,aes-gcm-siv,text_short,100,69,70,1.3821366904438406,1.3623918805803572,116,16,16.0
